Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/27/22,152.23,4825954,-0.81,-0.53,-0.53,152.23,-14.45,153.82,157.30,150.44,-14.45
04/26/22,153.04,4075004,-5.35,-3.38,-3.38,153.04,-14.00,158.40,159.20,152.80,-14.00
04/25/22,158.39,3868115,2.30,1.47,1.47,158.39,-10.99,154.33,159.79,152.10,-10.99
04/22/22,156.09,3863419,-1.82,-1.15,-1.15,156.09,-12.28,157.84,161.67,154.78,-12.28
04/21/22,157.91,4714572,-6.64,-4.04,-4.04,157.91,-11.26,168.98,170.93,156.68,-11.26
04/20/22,164.55,3997912,-5.57,-3.27,-3.27,164.55,-7.53,172.61,172.61,164.31,-7.53
04/19/22,170.12,2857124,4.38,2.64,2.64,170.12,-4.40,165.74,170.82,165.71,-4.40
04/18/22,165.74,3339887,-4.96,-2.91,-2.91,165.74,-6.86,169.27,170.12,164.35,-6.86
04/14/22,170.70,5125142,-1.15,-0.67,-0.67,170.70,-4.07,171.66,174.64,170.30,-4.07
04/13/22,171.85,7211893,11.74,7.33,7.33,171.85,-3.43,160.84,172.96,160.65,-3.43
04/12/22,160.11,4113036,-0.14,-0.09,-0.09,160.11,-10.03,163.70,166.11,157.28,-10.03
04/11/22,160.25,3877215,-2.31,-1.42,-1.42,160.25,-9.95,159.84,163.57,157.41,-9.95
04/08/22,162.56,3448377,-3.35,-2.02,-2.02,162.56,-8.65,162.52,164.90,159.35,-8.65
04/07/22,165.91,4146557,1.25,0.76,0.76,165.91,-6.77,163.19,167.86,161.71,-6.77
04/06/22,164.66,4287691,-6.55,-3.83,-3.83,164.66,-7.47,167.05,168.77,161.58,-7.47
04/05/22,171.21,4064959,-5.81,-3.28,-3.28,171.21,-3.79,177.19,179.09,170.12,-3.79
04/04/22,177.02,3500522,3.95,2.28,2.28,177.02,-0.52,175.02,177.02,172.59,-0.52
04/01/22,173.07,3644935,1.31,0.76,0.76,173.07,-2.74,173.06,177.94,172.23,-2.74
03/31/22,171.76,3232222,-1.87,-1.08,-1.08,171.76,-3.48,173.54,176.15,171.16,-3.48
03/30/22,173.63,3707406,-1.89,-1.08,-1.08,173.63,-2.43,173.13,176.82,172.02,-2.43
03/29/22,175.52,5452762,7.87,4.69,4.69,175.52,-1.37,172.11,178.88,171.81,-1.37
03/28/22,167.65,3829793,0.43,0.26,0.26,167.65,-5.79,167.22,168.72,162.43,-5.79
03/25/22,167.22,2956870,-3.61,-2.11,-2.11,167.22,-6.03,169.94,170.61,164.13,-6.03
