Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/12/23,128.50,11821000,-0.02,-0.02,-0.02,136.21,-11.61,129.18,130.43,128.06,-16.61
04/11/23,128.52,10516270,0.63,0.49,0.49,136.23,-11.59,128.30,128.94,127.54,-16.59
04/10/23,127.89,9477292,0.42,0.33,0.33,135.56,-12.03,126.54,128.23,126.22,-17.00
04/06/23,127.47,8760220,-0.14,-0.11,-0.11,135.12,-12.31,127.00,128.08,126.86,-17.28
04/05/23,127.61,9614692,-0.81,-0.63,0.15,135.26,-12.22,126.80,128.15,126.46,-17.18
04/04/23,128.42,11579920,-1.74,-1.34,-1.34,135.06,-12.35,130.50,130.59,127.41,-16.66
04/03/23,130.16,11775390,-0.15,-0.12,-0.12,136.89,-11.16,129.91,131.44,129.41,-15.53
03/31/23,130.31,13105220,1.56,1.21,1.21,137.05,-11.06,129.66,130.34,128.85,-15.43
03/30/23,128.75,12134680,-0.39,-0.30,-0.30,135.41,-12.12,129.95,130.12,127.65,-16.44
03/29/23,129.14,14595260,0.26,0.20,0.20,135.82,-11.86,130.10,130.22,127.77,-16.19
03/28/23,128.88,10820470,0.39,0.30,0.30,135.55,-12.03,128.71,129.34,127.74,-16.36
03/27/23,128.49,18853940,3.58,2.87,2.87,135.14,-12.30,126.79,129.38,126.29,-16.61
03/24/23,124.91,22326920,-1.93,-1.52,-1.52,131.37,-14.74,125.63,125.68,123.11,-18.94
03/23/23,126.84,16677640,-0.34,-0.27,-0.27,133.40,-13.43,127.90,129.53,126.02,-17.68
03/22/23,127.18,17250170,-3.37,-2.58,-2.58,133.76,-13.19,130.56,130.66,127.08,-17.46
03/21/23,130.55,17807810,3.41,2.68,2.68,137.30,-10.89,130.59,131.73,130.19,-15.28
03/20/23,127.14,22875510,1.33,1.06,1.06,133.72,-13.22,126.99,129.47,126.01,-17.49
03/17/23,125.81,38395980,-4.94,-3.78,-3.78,132.32,-14.13,128.38,128.48,125.45,-18.35
03/16/23,130.75,24570590,2.49,1.94,1.94,137.51,-10.76,128.01,131.95,126.02,-15.15
03/15/23,128.26,34280610,-6.36,-4.72,-4.72,134.90,-12.46,130.98,130.99,126.73,-16.76
03/14/23,134.62,29648120,3.37,2.57,2.57,141.58,-8.12,135.28,135.53,131.29,-12.64
03/13/23,131.25,42901130,-2.40,-1.80,-1.80,138.04,-10.42,131.21,133.88,129.41,-14.82
03/10/23,133.65,37599660,3.31,2.54,2.54,140.56,-8.78,128.96,135.26,127.82,-13.26
03/09/23,130.34,25888100,-7.46,-5.41,-5.41,137.08,-11.04,136.76,137.35,129.22,-15.41
03/08/23,137.80,10002550,-0.82,-0.59,-0.59,144.93,-5.95,138.00,138.59,136.89,-10.57
03/07/23,138.62,11747620,-4.20,-2.94,-2.94,145.79,-5.39,142.01,142.31,137.81,-10.04
03/06/23,142.82,9261255,-0.84,-0.58,-0.58,150.21,-2.52,143.44,144.04,142.66,-7.31
03/03/23,143.66,9513063,2.59,1.84,1.84,151.09,-1.95,141.51,143.74,141.08,-6.77
