Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
10/10/23,110.45,13891950,-0.47,-0.42,-0.42,122.85,120.51,111.02,111.45,110.12,98.26
10/09/23,110.92,22369890,3.75,3.50,3.50,123.37,121.45,110.44,112.07,109.52,99.10
10/06/23,107.17,25367470,-1.82,-1.67,-1.67,119.20,113.96,105.73,108.27,105.11,92.37
10/05/23,108.99,20128780,-2.51,-2.25,-2.25,121.22,117.60,109.80,110.90,108.70,95.64
10/04/23,111.50,19622230,-4.33,-3.74,-3.74,124.01,122.61,114.05,114.09,110.50,100.14
10/03/23,115.83,13297060,0.20,0.17,0.17,128.83,131.25,115.44,116.44,115.03,107.92
10/02/23,115.63,14395000,-1.95,-1.66,-1.66,128.61,130.85,117.53,117.79,114.55,107.56
09/29/23,117.58,18813570,-1.89,-1.58,-1.58,130.78,134.75,119.10,119.18,116.73,111.06
09/28/23,119.47,16808120,-0.73,-0.61,-0.61,132.88,138.52,119.98,120.70,118.19,114.45
09/27/23,120.20,23976160,3.79,3.26,3.26,133.69,139.98,117.89,120.50,117.40,115.76
09/26/23,116.41,11805430,0.18,0.15,0.15,129.48,132.41,115.50,116.73,115.37,108.96
09/25/23,116.23,11316010,1.29,1.12,1.12,129.28,132.05,115.09,116.65,114.83,108.63
09/22/23,114.94,13200210,0.18,0.16,0.16,127.84,129.47,115.71,116.68,114.81,106.32
09/21/23,114.76,14409640,-1.64,-1.41,-1.41,127.64,129.12,116.98,117.37,114.60,106.00
09/20/23,116.40,11883210,-0.93,-0.79,-0.79,129.46,132.39,116.54,118.02,116.32,108.94
09/19/23,117.33,12569720,-0.31,-0.26,-0.26,130.50,134.25,118.62,118.84,116.61,110.61
09/18/23,117.64,14045310,0.94,0.81,0.81,130.84,134.87,117.53,118.24,116.70,111.16
09/15/23,116.70,34568390,-1.82,-1.54,-1.54,129.80,132.99,117.90,118.51,116.50,109.48
09/14/23,118.52,15210700,2.08,1.79,1.79,131.82,136.62,117.55,118.66,117.33,112.74
09/13/23,116.44,13472800,-1.05,-0.89,-0.89,129.51,132.47,117.41,117.96,115.90,109.01
09/12/23,117.49,20145760,3.33,2.92,2.92,130.68,134.57,115.34,117.67,115.27,110.90
09/11/23,114.16,14383560,-1.45,-1.25,-1.25,126.97,127.92,116.18,116.68,113.57,104.92
09/08/23,115.61,14286480,1.66,1.46,1.46,128.59,130.81,114.53,116.05,114.32,107.52
09/07/23,113.95,13248540,-0.56,-0.49,-0.49,126.74,127.50,114.65,115.85,113.70,104.54
09/06/23,114.51,13325540,0.98,0.86,0.86,127.36,128.62,113.48,114.59,113.23,105.55
09/05/23,113.53,18304010,0.01,0.01,0.01,126.27,126.66,114.10,115.83,113.50,103.79
09/01/23,113.52,14843480,2.33,2.10,2.10,126.26,126.64,112.20,113.82,112.20,103.77
08/31/23,111.19,17479830,0.31,0.28,0.28,123.67,121.99,111.12,111.42,110.62,99.59
08/30/23,110.88,11922060,1.07,0.97,0.97,123.32,121.37,110.44,111.14,109.98,99.03
08/29/23,109.81,9665010,0.65,0.60,0.60,122.13,119.23,109.66,110.02,108.42,97.11
08/28/23,109.16,10382120,0.91,0.84,0.84,121.41,117.94,108.45,110.04,108.44,95.94
08/25/23,108.25,13579300,1.90,1.79,1.79,120.40,116.12,107.43,108.93,106.62,94.31
08/24/23,106.35,10818480,-0.80,-0.75,-0.75,118.29,112.33,106.42,107.77,106.07,90.90
08/23/23,107.15,11435550,-0.95,-0.88,-0.88,119.18,113.92,107.04,107.30,105.72,92.34
08/22/23,108.10,10520840,-0.61,-0.56,-0.56,120.23,115.82,109.17,109.72,107.95,94.04
08/21/23,108.71,11092380,-1.33,-1.21,-1.21,120.91,117.04,110.36,110.98,108.14,95.14
08/18/23,110.04,16223950,1.64,1.51,1.51,122.39,119.69,107.64,110.20,107.62,97.52
08/17/23,108.40,16709540,2.06,1.94,1.94,120.57,116.42,107.42,110.15,107.42,94.58
08/16/23,106.34,13695120,-1.82,-1.68,-1.68,118.28,112.31,108.28,109.33,106.28,90.88
08/15/23,108.16,14909580,-3.76,-3.36,-2.55,120.30,115.94,110.75,110.86,107.97,94.15
08/14/23,111.92,12973380,0.09,0.08,0.08,123.44,121.58,111.68,111.98,110.78,100.90
08/11/23,111.83,14047040,1.71,1.55,1.55,123.34,121.40,110.37,112.07,110.05,100.74
08/10/23,110.12,15837170,0.56,0.51,0.51,121.46,118.02,110.19,111.63,109.44,97.67
08/09/23,109.56,19919600,1.83,1.70,1.70,120.84,116.91,108.71,110.42,108.31,96.66
